ticker,has_prices,price_age_days,has_fundamentals,filing_age_days,has_market_cap,freshness_label
GM,True,3,True,6,True,fresh
GNRC,False,,False,,False,missing
GOOG,False,,False,,False,missing
GOOGL,True,3,True,4,True,fresh
GPC,False,,False,,False,missing
GPN,False,,False,,False,missing
GRMN,True,3,True,5,True,fresh
GS,True,3,True,68,True,fresh
GSK,True,3,True,59,True,fresh
GWLIF,True,3,True,8342,False,fresh
GWW,True,3,True,74,True,fresh
HAL,True,3,True,10,True,fresh
HAS,False,,False,,False,missing
HBAN,True,3,True,4,True,fresh
HCA,True,3,True,5,True,fresh
HD,True,3,True,47,True,fresh
HDB,True,3,True,294,True,fresh
HEI,True,3,True,66,True,fresh
HIG,True,3,True,11,True,fresh
HII,False,,False,,False,missing
HLN,True,3,True,52,True,fresh
HLT,True,3,True,6,True,fresh
HMC,True,3,True,320,True,fresh
HON,True,3,True,11,True,fresh
HOOD,True,3,True,5,False,fresh
HPE,True,3,True,55,True,fresh
HPQ,False,,False,,False,missing
HRL,False,,False,,False,missing
HSBC,True,3,True,67,True,fresh
HSIC,False,,False,,False,missing
HST,False,,False,,False,missing
HSY,True,3,True,4,True,fresh
HTHIY,True,3,True,5428,True,fresh
HUBB,True,3,True,81,True,fresh
HUM,True,3,True,5,True,fresh
HWM,True,3,True,81,True,fresh
IBKR,True,3,True,66,True,fresh
IBM,True,3,True,11,True,fresh
IBN,True,3,True,283,False,fresh
ICE,True,3,True,4,True,fresh
IDXX,True,3,True,73,True,fresh
IEX,False,,False,,False,missing
IFF,False,,False,,False,missing
IFNNY,True,3,True,5991,False,fresh
IMO,True,3,True,75,True,fresh
INCY,False,,False,,False,missing
INFY,True,3,True,307,True,fresh
ING,True,3,True,67,True,fresh
INSM,True,3,True,74,True,fresh
INTC,True,3,True,10,True,fresh
INTU,True,3,True,67,True,fresh
INVH,False,,False,,False,missing
IP,False,,False,,False,missing
IQV,True,3,True,76,True,fresh
IR,True,3,True,5,True,fresh
IRM,True,3,True,4,True,fresh
ISRG,True,3,True,12,True,fresh
